AVÖ 1996R Generationentafeln,,,,,,,,,,
,Männer,,,,,Frauen,,,,
age,qx1991,trendM long,trendM short,factorMG,factorM,qy1991,trendF long,trendF short,factorFG,factorF
0,0.0084686,0.045780839322034,0.062792362,0.8,0.8,0.0067104,0.049763218294738,0.049763218294738,0.8,0.8
1,0.0005477,0.0455624991333896,0.046734646,0.8,0.8,0.0005155,0.0463588998451518,0.0463588998451518,0.8,0.8
2,0.0004539,0.0445589383626771,0.046695544,0.8,0.8,0.0004117,0.045568312499516,0.045568312499516,0.8,0.8
3,0.0003739,0.0429663572317243,0.046656442,0.8,0.8,0.0003175,0.044453791013854,0.044453791013854,0.8,0.8
4,0.0003086,0.0410116158440628,0.046617341,0.8,0.8,0.0002377,0.0431260876112459,0.0431260876112459,0.8,0.8
5,0.0002571,0.0389562493886482,0.046578239,0.8,0.8,0.0001803,0.0417058756205811,0.0417058756205811,0.8,0.8
6,0.0002165,0.0371009184621877,0.046539137,0.8,0.8,0.0001413,0.0403248573727864,0.0403248573727864,0.8,0.8
7,0.0001897,0.0357903018243682,0.046500036,0.8,0.8,0.0001183,0.0391269753222444,0.0391269753222444,0.8,0.8
8,0.0001677,0.035418452426267,0.046460934,0.8,0.8,0.0001066,0.0382697173174771,0.0382697173174771,0.8,0.8
9,0.0001532,0.0354636812851688,0.046421832,0.8,0.8,0.0001012,0.0375563071959882,0.0375563071959882,0.8,0.8
10,0.0001495,0.0350190955,0.04638273,0.8,0.8,0.0000992,0.03667394928,0.0369984,0.8,0.8
11,0.0001565,0.0339619677534714,0.046343629,0.8,0.8,0.0001005,0.0356215813061646,0.036432,0.8,0.8
12,0.0001716,0.0321995390445823,0.046304527,0.8,0.8,0.000107,0.0344046249791861,0.0359904,0.8,0.8
13,0.0001979,0.0296723266432079,0.046265425,0.8,0.8,0.0001205,0.0330356125475103,0.035616,0.8,0.8
14,0.000262,0.026357509630484,0.045430811,0.8,0.8,0.0001495,0.0315648,0.0353285088,0.8,0.8
15,0.0003961,0.0222722741962857,0.043005172,0.8,0.8,0.000207,0.0301152,0.0350799264,0.8,0.8
16,0.0006237,0.01928,0.038988508,0.8,0.8,0.0002816,0.0290592,0.034831344,0.8,0.8
17,0.0009624,0.01751,0.03474,0.8,0.8,0.0003294,0.02808,0.0345827616,0.8,0.8
18,0.0013468,0.01673,0.0319,0.8,0.8,0.0003751,0.0274848,0.0343341792,0.8,0.8
19,0.0015062,0.01634,0.03063,0.8,0.8,0.0004028,0.0271584,0.0340855968,0.8,0.8
20,0.0014673,0.016,0.03006854,0.8,0.8,0.0004047,0.02680536,0.0338370144,0.8,0.8
21,0.0013739,0.01591546,0.02988563,0.8,0.8,0.0003893,0.0265969632,0.033588432,0.8,0.8
22,0.0012821,0.01582696,0.02970619,0.8,0.8,0.0003696,0.0263868576,0.033341616,0.8,0.8
23,0.0012317,0.01573457,0.02952998,0.8,0.8,0.0003553,0.0261750336,0.0330964608,0.8,0.8
24,0.0012004,0.01563835,0.02935677,0.8,0.8,0.0003446,0.0259614912,0.0328528608,0.8,0.8
25,0.0011736,0.01553836,0.02918632,0.8,0.8,0.0003383,0.0257462016,0.0326107008,0.8,0.8
26,0.001159,0.01543467,0.02901841,0.8,0.8,0.0003501,0.0255291552,0.0323698752,0.8,0.8
27,0.0011614,0.01532733,0.0288528,0.8,0.8,0.0003747,0.0253103616,0.0321302688,0.8,0.8
28,0.0011766,0.01521642,0.02868925,0.8,0.8,0.0004077,0.025089792,0.0318917664,0.8,0.8
29,0.0012047,0.015102,0.02852754,0.8,0.8,0.0004413,0.0248674368,0.031654272,0.8,0.8
30,0.0012464,0.01498413,0.02836743,0.8,0.8,0.0004719,0.0246433056,0.0314176704,0.8,0.8
31,0.0013043,0.01486287,0.02820869,0.8,0.8,0.0005098,0.02441736,0.031181856,0.8,0.8
32,0.0013837,0.01473829,0.02805109,0.8,0.8,0.0005565,0.0241896096,0.030946704,0.8,0.8
33,0.0014691,0.01461044,0.02789439,0.8,0.8,0.0006056,0.0239600352,0.030712128,0.8,0.8
34,0.0015485,0.01447941,0.02773836,0.8,0.8,0.000655,0.0237286272,0.0304779936,0.8,0.8
35,0.0016246,0.01434524,0.02758277,0.8,0.8,0.0007127,0.023495376,0.0302442144,0.8,0.8
36,0.0017037,0.014208,0.02742738,0.8,0.8,0.0007879,0.023260272,0.0300106656,0.8,0.8
37,0.0017987,0.01406776,0.02727197,0.8,0.8,0.0008761,0.0230233056,0.029777232,0.8,0.8
38,0.001941,0.01392457,0.0271163,0.8,0.8,0.0009748,0.0227844576,0.0295438272,0.8,0.8
39,0.0021488,0.01377851,0.02696014,0.8,0.8,0.0010854,0.0225437376,0.0293103168,0.8,0.8
40,0.0024129,0.01362963,0.02680325,0.8,0.8,0.0012084,0.0223011168,0.0290766048,0.8,0.8
41,0.0027102,0.013478,0.0266454,0.8,0.8,0.0013513,0.0220565856,0.028842576,0.8,0.8
42,0.003018,0.01332368,0.02648636,0.8,0.8,0.0015136,0.021810144,0.0286081344,0.8,0.8
43,0.0033313,0.01316674,0.0263259,0.8,0.8,0.0016826,0.0215617824,0.0283731456,0.8,0.8
44,0.0036547,0.01300724,0.02616378,0.8,0.8,0.0018489,0.021311472,0.0281375232,0.8,0.8
45,0.0039948,0.01284524,0.02599978,0.8,0.8,0.0020112,0.0210592224,0.0279011424,0.8,0.8
46,0.0043519,0.0126808,0.02583365,0.8,0.8,0.0021721,0.0208050144,0.0276638976,0.8,0.8
47,0.0047251,0.012514,0.02566517,0.8,0.8,0.0023381,0.0205488384,0.0274256832,0.8,0.8
48,0.0051126,0.01234489,0.0254941,0.8,0.8,0.0025167,0.0202906848,0.027186384,0.8,0.8
49,0.005521,0.01217353,0.02532021,0.8,0.8,0.0027108,0.020030544,0.0269458944,0.8,0.8
50,0.0059701,0.012,0.02514327,0.8,0.8,0.0029238,0.0197684064,0.0267041088,0.8,0.8
51,0.0064826,0.01182435,0.02496304,0.78,0.78,0.0031576,0.0195042528,0.0264609024,0.78,0.78
52,0.0070816,0.01164665,0.0247793,0.76,0.76,0.0034169,0.0192380832,0.0262161792,0.76,0.76
53,0.0077817,0.01146695,0.0245918,0.74,0.74,0.0037033,0.0189698784,0.025969824,0.74,0.74
54,0.0085851,0.01128533,0.02440032,0.72,0.72,0.0040175,0.0186996384,0.0257217312,0.72,0.72
55,0.0094913,0.01110185,0.02420463,0.7,0.7,0.0043607,0.018427344,0.0254717856,0.7,0.7
56,0.0104969,0.01091657,0.02400449,0.68,0.68,0.0047324,0.0181529952,0.0252198816,0.68,0.68
57,0.0115953,0.01072956,0.02379966,0.67,0.66,0.0051322,0.0178765728,0.024965904,0.67,0.66
58,0.0127831,0.01054087,0.02358992,0.67,0.64,0.0055619,0.0175980672,0.0247097472,0.67,0.64
59,0.0140661,0.01035057,0.02337503,0.67,0.62,0.0060314,0.0173174592,0.0244513056,0.67,0.62
60,0.0154529,0.01015873,0.02315477,0.67,0.6,0.0065642,0.0170347584,0.024190464,0.67,0.6
61,0.0169422,0.00996541,0.02292889,0.67567911,0.606497636946269,0.0071846,0.0167499456,0.0239271168,0.67018259,0.601563894964179
62,0.0185334,0.00977067,0.02269716,0.68138971,0.613047339086567,0.0079052,0.0164630112,0.0236611488,0.67058979,0.603330634943284
63,0.0202352,0.00957457,0.02245936,0.68713219,0.619649655519403,0.0087342,0.016173936,0.0233924544,0.67122483,0.605304540725373
64,0.0220656,0.00937719,0.02221525,0.69290692,0.626305120525373,0.009681,0.0158827104,0.0231209184,0.67209093,0.607489951056716
65,0.0240385,0.00917857,0.02196459,0.69871429,0.633014289597015,0.0107563,0.015589344,0.0228464352,0.67319131,0.609891231597015
66,0.0261662,0.00897879,0.02170716,0.70455467,0.639777703325373,0.0119709,0.015293808,0.0225688992,0.67452918,0.612512765838806
67,0.0284651,0.00877792,0.02144272,0.71042844,0.646595914495522,0.0133398,0.0149960928,0.0222881952,0.67610778,0.615358991408955
68,0.0309598,0.008576,0.02117104,0.716336,0.653469497313433,0.0148837,0.0146961888,0.0220042176,0.67793031,0.618434336525373
69,0.0336572,0.00837311,0.02089188,0.72227771,0.660398992755224,0.0166275,0.014394096,0.0217168512,0.68,0.62174328358209
70,0.0365059,0.00816931,0.02060502,0.72825397,0.667384981462687,0.018601,0.0140897952,0.0214259904,0.68232007,0.62529033280597
71,0.0395594,0.00796467,0.02031021,0.73426514,0.674428010680597,0.0208415,0.0137832672,0.02113152,0.68489374,0.629080011337313
72,0.0429954,0.00775924,0.02000724,0.74031162,0.681528667486567,0.0233941,0.0134745216,0.0208333344,0.68772422,0.633116864023881
73,0.0470208,0.00755309,0.01969586,0.74639378,0.688687514620896,0.026311,0.0131635392,0.020531328,0.69081475,0.637405490223881
74,0.0517327,0.00734629,0.01937584,0.752512,0.695905127164179,0.0296518,0.0128503008,0.0202253856,0.69416853,0.641950479385075
75,0.0571156,0.00713889,0.01904695,0.75866667,0.703182092641791,0.0334821,0.0125348064,0.0199154016,0.6977888,0.646756484776119
76,0.0631044,0.00693096,0.01870895,0.76485816,0.710518983259701,0.0378743,0.0122170464,0.0196012608,0.70167876,0.65182814958806
77,0.0697074,0.00672257,0.01836162,0.77108686,0.717916392937313,0.0429098,0.0118970016,0.0192828576,0.70584164,0.657170171689552
78,0.0769878,0.00651378,0.01800473,0.77735314,0.725374900191045,0.0486813,0.011574672,0.0189600768,0.71028066,0.662787266614925
79,0.0850452,0.00630465,0.01763803,0.7836574,0.732895114686567,0.055294,0.0112500384,0.0186328224,0.71499904,0.66868417681194
