DAV 1994T Männer,,,,,,DAV 1994T Frauen,,,,,
Alter,t_x,L_x^M,q_x,q_x^a,qbar_x^a,Alter,t_y,L_y^M,q_y,q_y^a,qbar_y^a
0,29,3119,0.009253,0.009739,0.011687,0,19,2739,0.007016,0.007503,0.009003
1,2,3156,0.000705,0.00084,0.001008,1,2,2769,0.000582,0.000722,0.000867
2,1,3103,0.000493,0.000606,0.000728,2,1,2722,0.000402,0.00052,0.000624
3,1,3092,0.000355,0.000452,0.000542,3,1,2710,0.000273,0.00037,0.000444
4,1,3153,0.000306,0.000394,0.000473,4,1,2762,0.000204,0.000287,0.000345
5,1,3185,0.000291,0.000377,0.000452,5,1,2794,0.000179,0.000256,0.000307
6,1,3162,0.000276,0.000361,0.000433,6,1,2777,0.000169,0.000244,0.000293
7,1,3075,0.000258,0.00034,0.000408,7,0,2704,0.000161,0.000235,0.000283
8,1,2999,0.000236,0.000316,0.000379,8,0,2630,0.000155,0.000229,0.000275
9,1,2999,0.000217,0.000293,0.000352,9,0,2628,0.00015,0.000223,0.000268
10,1,3015,0.000205,0.000279,0.000334,10,0,2642,0.000146,0.000217,0.000261
11,1,3041,0.000202,0.000276,0.000331,11,0,2665,0.000145,0.000217,0.00026
12,1,3097,0.000209,0.000283,0.00034,12,0,2724,0.000151,0.000222,0.000267
13,1,3215,0.000233,0.000309,0.000371,13,0,2826,0.000161,0.000234,0.000281
14,1,3471,0.000293,0.000376,0.000451,14,1,3048,0.000181,0.000256,0.000307
15,2,3832,0.000402,0.000494,0.000593,15,1,3359,0.000216,0.000294,0.000353
16,2,4210,0.000556,0.00066,0.000792,16,1,3693,0.000265,0.000346,0.000416
17,3,4582,0.000751,0.000866,0.00104,17,1,4022,0.000314,0.0004,0.00048
18,5,4957,0.000956,0.001081,0.001298,18,2,4357,0.00036,0.000448,0.000537
19,6,5250,0.001069,0.001197,0.001437,19,2,4639,0.000379,0.000467,0.00056
20,6,5424,0.001102,0.00123,0.001476,20,2,4786,0.00038,0.000466,0.00056
