"DAV 1994 R, Trend und AV",,,,,,,YOB:,1935,Interest:,,4%,0.961538461538461,<=v
,qbar_x^B (2000),,Fbar(x),,AV Grundtafel 1955,,,Sterblichkeiten,,,sof.beg.LR,,
x,Basis M,Basis F,Trend M,Trend F,AV Basis M 1955,AV Basis F 1955,Age,qx,qy,Alter,äx,äy,
0,0.003691,0.002509,0.048333,0.050169,0.000113,0.000059,0,0.0854167676517212,0.0654226983214743,0,22.3704929267759,23.2827661246754,
1,0.000154,0.000083,0.048333,0.050169,0.000113,0.000059,1,0.00339569795615305,0.00205834307949996,1,24.3010278974625,24.7963188577779,
2,0.000125,0.000064,0.043688,0.046174,0.000113,0.000059,2,0.00195991765248229,0.00117361626213733,2,24.3156375741742,24.7992169085898,
3,0.000079,0.000048,0.041833,0.04489,0.000113,0.000059,3,0.00105689839187685,0.000776177329060597,3,24.2958810032019,24.7802681105681,
4,0.000075,0.000036,0.039661,0.043984,0.000113,0.000059,4,0.000842866947616613,0.000526653553410943,4,24.2533495694876,24.7506897592605,
5,0.00006,0.000029,0.037158,0.042282,0.000113,0.000059,5,0.000557701884374774,0.000366579652278056,5,24.2038842062685,24.7137329248939,
6,0.000052,0.000026,0.035218,0.040662,0.000113,0.000059,6,0.000415343429338061,0.000286332733381256,6,24.145505568474,24.6713262480869,
7,0.000048,0.000026,0.033511,0.039605,0.000113,0.000059,7,0.000335237424587992,0.000258575194127223,7,24.0813278124896,24.6252303075145,
8,0.000046,0.000025,0.032248,0.03813,0.000113,0.000059,8,0.000289101372495908,0.000219705019208769,8,24.0126308575155,24.5765944174876,
9,0.000046,0.000024,0.031145,0.037086,0.000113,0.000059,9,0.000263159785332922,0.000191496557191715,9,23.9400571952088,24.5250464699928,
10,0.000045,0.000023,0.030302,0.03652,0.000113,0.000059,10,0.000238238551704042,0.000171416148314454,10,23.8639395122164,24.4707343901802,
11,0.000044,0.000021,0.029313,0.035557,0.000113,0.000059,11,0.00021423887566616,0.000143251301020826,11,23.7841633973464,24.4137486765515,
12,0.000045,0.00002,0.027834,0.034881,0.000113,0.000059,12,0.00019673634651029,0.000127030253363953,12,23.7006075247489,24.3537873353341,
13,0.00005,0.00002,0.02614,0.032956,0.000114,0.000059,13,0.000194669452613445,0.000110990462428601,13,23.6132774156668,24.2910245237472,
14,0.000062,0.000021,0.024785,0.032708,0.000133,0.000059,14,0.000219459868649375,0.00011134466022967,14,23.5223876026122,24.225354287972,
15,0.000083,0.000026,0.024785,0.032518,0.000175,0.000068,15,0.000286600886283934,0.000132157783463951,15,23.4284247057253,24.1570582189304,
16,0.000115,0.000033,0.024785,0.032518,0.000235,0.000085,16,0.000387376515512876,0.000162371928945537,16,23.3322487371214,24.0865237692804,
17,0.000154,0.000044,0.024785,0.032518,0.000309,0.00011,17,0.000506048544490314,0.000209569124310736,17,23.2345392014416,24.013883900702,
18,0.000197,0.000057,0.024785,0.032518,0.000385,0.00011,18,0.000631500496957506,0.000262801046267775,18,23.135628520638,23.9394562276082,
