,Grundtafel,Grundtafel,Grundtafel,Grundtafel,Grundtafel,Grundtafel
,Bestand,Bestand,B20,B20,1. Ordnung,1. Ordnung
Alter,Männer,Frauen,Männer,Frauen,Männer,Frauen
0,0.000092,0.000073,0.000092,0.000073,0.000083,0.000066
1,0.000092,0.000073,0.000092,0.000073,0.000083,0.000066
2,0.000092,0.000073,0.000092,0.000073,0.000083,0.000066
3,0.000092,0.000073,0.000092,0.000073,0.000083,0.000066
4,0.000092,0.000073,0.000092,0.000073,0.000083,0.000066
5,0.000092,0.000073,0.000092,0.000073,0.000083,0.000066
6,0.000092,0.000073,0.000092,0.000073,0.000083,0.000066
7,0.000092,0.000073,0.000092,0.000073,0.000083,0.000066
8,0.000092,0.000073,0.000092,0.000073,0.000083,0.000066
9,0.000092,0.000073,0.000092,0.000073,0.000083,0.000066
10,0.000092,0.000073,0.000092,0.000073,0.000083,0.000066
11,0.000109,0.000079,0.000109,0.000079,0.000098,0.000071
12,0.000115,0.000083,0.000115,0.000083,0.000104,0.000075
13,0.000127,0.000088,0.000127,0.000088,0.000114,0.000079
14,0.000155,0.000102,0.000155,0.000102,0.00014,0.000092
15,0.000214,0.000134,0.000214,0.000134,0.000192,0.00012
16,0.000307,0.000161,0.000307,0.000161,0.000276,0.000144
17,0.000405,0.000185,0.000405,0.000185,0.000364,0.000166
18,0.000663,0.000223,0.000663,0.000223,0.000596,0.000201
19,0.000665,0.000223,0.000665,0.000223,0.000598,0.000201
20,0.000665,0.000223,0.000665,0.000223,0.000598,0.000201
21,0.000665,0.000223,0.000665,0.000223,0.000598,0.000201
22,0.000665,0.000223,0.000665,0.000223,0.000598,0.000201
23,0.000665,0.000223,0.000665,0.000223,0.000598,0.000201
24,0.000665,0.000246,0.000665,0.000246,0.000598,0.000222
25,0.000665,0.00025,0.000665,0.00025,0.000598,0.000225
26,0.000665,0.00025,0.000665,0.00025,0.000598,0.000225
27,0.000665,0.000261,0.000665,0.000261,0.000598,0.000235
28,0.000665,0.000287,0.000665,0.000287,0.000598,0.000258
29,0.000665,0.000311,0.000665,0.000311,0.000598,0.00028
30,0.000665,0.000323,0.000665,0.000323,0.000598,0.000291
31,0.000672,0.000335,0.000672,0.000335,0.000605,0.000302
32,0.000695,0.000353,0.000695,0.000353,0.000626,0.000318
33,0.000736,0.000383,0.000736,0.000383,0.000663,0.000344
34,0.000792,0.000427,0.000792,0.000427,0.000713,0.000385
35,0.000861,0.000482,0.000861,0.000482,0.000754,0.000423
36,0.000945,0.000543,0.000945,0.000543,0.000805,0.000464
37,0.001049,0.000608,0.001049,0.000608,0.000871,0.000508
38,0.001164,0.000672,0.001164,0.000672,0.00094,0.00055
39,0.001281,0.00074,0.001281,0.00074,0.001008,0.000593
40,0.001401,0.000817,0.001401,0.000817,0.001073,0.000642
41,0.001524,0.000899,0.001524,0.000899,0.001137,0.000693
42,0.001648,0.000983,0.001648,0.000983,0.001197,0.000743
43,0.001781,0.001066,0.001781,0.001066,0.001259,0.000788
44,0.001924,0.001148,0.001924,0.001148,0.001325,0.00083
45,0.002029,0.001212,0.002029,0.001212,0.001395,0.000874
46,0.002144,0.001284,0.002144,0.001284,0.001473,0.000921
47,0.002268,0.001361,0.002268,0.001361,0.001557,0.000971
48,0.002397,0.001439,0.002397,0.001439,0.001644,0.001022
49,0.002529,0.001514,0.002529,0.001514,0.001735,0.001069
50,0.002664,0.001582,0.002664,0.001582,0.001826,0.001111
51,0.002815,0.001647,0.00281,0.001645,0.001924,0.001149
52,0.002974,0.001708,0.00296,0.001702,0.002023,0.001182
53,0.003138,0.001773,0.003108,0.001761,0.002121,0.001218
