,F_1(x),F_1(y),F_2(x),F_2(y),F_1(x),F_1(y),F_2(x),F_2(y),F(x),F(y)
,Starttrend,,Zieltrend,,Starttrend,,Zieltrend,,Trend,
, 2. Ordnung,, 2. Ordnung,,Bestand,,Bestand,,1. Ordnung,
Alter,Männer,Frauen,Männer,Frauen,Männer,Frauen,Männer,Frauen,Männer,Frauen
0,0.03045921,0.03045921,0.02275699,0.02275699,0.03071697,0.03071697,0.02301277,0.02301277,0.03303985,0.03303985
1,0.03045921,0.03045921,0.02275699,0.02275699,0.03071697,0.03071697,0.02301277,0.02301277,0.03303985,0.03303985
2,0.03045921,0.03045921,0.02275699,0.02275699,0.03071697,0.03071697,0.02301277,0.02301277,0.03303985,0.03303985
3,0.03045921,0.03045921,0.02275699,0.02275699,0.03071697,0.03071697,0.02301277,0.02301277,0.03303985,0.03303985
4,0.03045921,0.03045921,0.02275699,0.02275699,0.03071697,0.03071697,0.02301277,0.02301277,0.03303985,0.03303985
5,0.03045921,0.03045921,0.02275699,0.02275699,0.03071697,0.03071697,0.02301277,0.02301277,0.03303985,0.03303985
6,0.03045921,0.03045921,0.02275699,0.02275699,0.03071697,0.03071697,0.02301277,0.02301277,0.03303985,0.03303985
7,0.03045921,0.03045921,0.02275699,0.02275699,0.03071697,0.03071697,0.02301277,0.02301277,0.03303985,0.03303985
8,0.03045921,0.03045921,0.02275699,0.02275699,0.03071697,0.03071697,0.02301277,0.02301277,0.03303985,0.03303985
9,0.03045921,0.03045921,0.02275699,0.02275699,0.03071697,0.03071697,0.02301277,0.02301277,0.03303985,0.03303985
10,0.03045921,0.03045921,0.02275699,0.02275699,0.03071697,0.03071697,0.02301277,0.02301277,0.03303985,0.03303985
11,0.03045921,0.03045921,0.02275699,0.02275699,0.03071697,0.03071697,0.02301277,0.02301277,0.03303985,0.03303985
12,0.03045921,0.03045921,0.02275699,0.02275699,0.03071697,0.03071697,0.02301277,0.02301277,0.03303985,0.03303985
13,0.03045921,0.03045921,0.02275699,0.02275699,0.03071697,0.03071697,0.02301277,0.02301277,0.03303985,0.03303985
14,0.03045921,0.03045921,0.02275699,0.02275699,0.03071697,0.03071697,0.02301277,0.02301277,0.03303985,0.03303985
15,0.03045921,0.03045921,0.02275699,0.02275699,0.03071697,0.03071697,0.02301277,0.02301277,0.03303985,0.03303985
16,0.03045921,0.03045921,0.02275699,0.02275699,0.03071697,0.03071697,0.02301277,0.02301277,0.03303985,0.03303985
17,0.03045921,0.03045921,0.02275699,0.02275699,0.03071697,0.03071697,0.02301277,0.02301277,0.03303985,0.03303985
18,0.03045921,0.03045921,0.02275699,0.02275699,0.03071697,0.03071697,0.02301277,0.02301277,0.03303985,0.03303985
19,0.03045921,0.03045921,0.02275699,0.02275699,0.03071697,0.03071697,0.02301277,0.02301277,0.03303985,0.03303985
20,0.03045921,0.03045921,0.02275699,0.02275699,0.03071697,0.03071697,0.02301277,0.02301277,0.03303985,0.03303985
21,0.03045921,0.03045921,0.02275699,0.02275699,0.03071697,0.03071697,0.02301277,0.02301277,0.03303985,0.03303985
22,0.03045921,0.03045921,0.02187596,0.02275699,0.03071697,0.03071697,0.02213153,0.02301277,0.03303985,0.03303985
23,0.03043323,0.03040765,0.02043855,0.02271861,0.03069099,0.0306654,0.02069375,0.02297439,0.03301381,0.03298816
