EROM/F G 1950 AV,,
,,
YOB,Shift M,Shift F
1920,1,2
1921,1,2
1922,1,2
1923,1,2
1924,1,2
1925,1,2
1926,1,2
1927,1,2
1928,1,2
1929,1,2
1930,1,2
1931,1,2
1932,1,2
1933,1,2
1934,1,2
1935,1,1
1936,1,1
1937,1,1
1938,1,1
1939,1,1
1940,1,1
1941,0,1
1942,0,1
1943,0,1
1944,0,1
1945,0,0
1946,0,0
1947,0,0
1948,0,0
1949,0,0
1950,0,0
1951,0,0
1952,0,0
1953,0,0
1954,0,0
1955,0,0
1956,0,-1
1957,0,-1
1958,0,-1
1959,0,-1
1960,-1,-1
1961,-1,-1
1962,-1,-1
1963,-1,-1
1964,-1,-1
1965,-1,-1
1966,-1,-1
1967,-1,-1
1968,-1,-2
1969,-1,-2
1970,-1,-2
