age,sex,smooth,raw,exposure
0,m,1.0620862213818607e-4,5.88901982568488e-4,3395.1509032063827
1,m,1.0043723694296476e-4,1.4628175094964104e-4,13671.245423754328
2,m,9.504832722596802e-5,3.83441195578306e-4,18252.23277133825
3,m,9.013674817814215e-5,9.270934984664885e-5,21571.797169953334
4,m,8.604740384461439e-5,1.199552480068884e-4,25007.826810176124
5,m,8.30722130506849e-5,3.5468227782461384e-5,28193.747711877164
6,m,8.156600788139496e-5,0,31415.9050805359
7,m,8.166814654812623e-5,5.797686551832024e-5,34495.51825982237
8,m,8.360666597947166e-5,0,36784.26291585127
9,m,8.761708802639668e-5,5.262700481935639e-5,38002.302807466505
10,m,9.410472289886507e-5,5.148850596728455e-5,38842.6207737468
11,m,1.0346067070745214e-4,1.5649270589207723e-4,38337.44510763209
12,m,1.1595226684870788e-4,1.5793870073502265e-4,37986.42230167093
13,m,1.321845596081076e-4,1.0586841821956495e-4,37780.75020322144
14,m,1.5316957929841966e-4,7.887122785099752e-5,38035.184374529585
15,m,1.8009159754479273e-4,7.656190885414318e-5,39182.47601234382
16,m,2.1380410996912647e-4,1.6239114858773455e-4,43102.29770435044
17,m,2.539796584205983e-4,3.4367733752662955e-4,49456.501452656936
18,m,2.9871641704750984e-4,4.3430412722083943e-4,59852.88284660545
19,m,3.448443073907264e-4,4.515713423829074e-4,77489.63279391841
20,m,3.884451559277992e-4,5.773412402437141e-4,96968.36211049225
21,m,4.255481839752369e-4,4.1181249668047464e-4,121389.47965527623
22,m,4.540770813575031e-4,4.951001645110446e-4,147408.41162125545
23,m,4.723958821836695e-4,5.327902221098338e-4,170753.43027999398
24,m,4.8039913561035016e-4,5.274294682255343e-4,191444.29899141955
25,m,4.8001375483533676e-4,4.2661993116169516e-4,208572.1010989011
26,m,4.7474891297606794e-4,4.5058369935927346e-4,224103.19251844045
27,m,4.6677271327511194e-4,4.920828413500308e-4,239738.0221360831
28,m,4.575271176981189e-4,4.6908539044922574e-4,255756.96305885894
29,m,4.4907820199754754e-4,4.12567010048043e-4,271415.05142255005
30,m,4.437006471516921e-4,4.3647120996732474e-4,288615.8340734608
31,m,4.4232822748811566e-4,4.020075022270977e-4,305902.9392668975
32,m,4.457103315260354e-4,4.962015048799787e-4,320354.8365271714
