,Selektionstafel,Selektionstafel,Aggregattafel,Aggregattafel,Selektionstafel,Selektionstafel,Aggregattafel,Aggregattafel,Selektionstafel,Selektionstafel,Aggregattafel,Aggregattafel
,qx(1999),qx(1999),qx(1999),qx(1999),qx(1999),qx(1999),qx(1999),qx(1999),qx(1999),qx(1999),qx(1999),qx(1999)
,2. Ordnung,2. Ordnung,2. Ordnung,2. Ordnung,Bestand,Bestand,Bestand,Bestand,1. Ordnung,1. Ordnung,1. Ordnung,1. Ordnung
Alter,Männer,Frauen,Männer,Frauen,Männer,Frauen,Männer,Frauen,Männer,Frauen,Männer,Frauen
0,0.003018,0.003053,0.004076,0.003226,0.002829,0.002833,0.003821,0.002993,0.002546,0.002549,0.003439,0.002694
1,0.000278,0.000317,0.000375,0.000335,0.00026,0.000294,0.000352,0.000311,0.000234,0.000265,0.000317,0.00028
2,0.000187,0.000182,0.000253,0.000192,0.000176,0.000169,0.000237,0.000178,0.000158,0.000152,0.000214,0.00016
3,0.000139,0.00014,0.000187,0.000148,0.00013,0.00013,0.000176,0.000137,0.000117,0.000117,0.000158,0.000124
4,0.000107,0.000114,0.000145,0.00012,0.0001,0.000106,0.000136,0.000112,0.00009,0.000095,0.000122,0.000101
5,0.000095,0.000089,0.000128,0.000094,0.000089,0.000082,0.00012,0.000087,0.00008,0.000074,0.000108,0.000078
6,0.00009,0.000091,0.000121,0.000097,0.000084,0.000085,0.000114,0.00009,0.000076,0.000076,0.000102,0.000081
7,0.000077,0.000091,0.000104,0.000096,0.000072,0.000084,0.000097,0.000089,0.000065,0.000076,0.000087,0.00008
8,0.000087,0.000078,0.000117,0.000082,0.000081,0.000072,0.00011,0.000076,0.000073,0.000065,0.000099,0.000069
9,0.000074,0.000077,0.0001,0.000082,0.000069,0.000072,0.000093,0.000076,0.000062,0.000065,0.000084,0.000068
10,0.000073,0.000075,0.000098,0.000079,0.000068,0.000069,0.000092,0.000073,0.000061,0.000062,0.000083,0.000066
11,0.000086,0.000081,0.000117,0.000085,0.000081,0.000075,0.000109,0.000079,0.000073,0.000067,0.000098,0.000071
12,0.000091,0.000085,0.000123,0.00009,0.000085,0.000079,0.000115,0.000083,0.000077,0.000071,0.000104,0.000075
13,0.0001,0.000089,0.000135,0.000094,0.000094,0.000083,0.000127,0.000088,0.000084,0.000075,0.000114,0.000079
14,0.000122,0.000104,0.000165,0.00011,0.000115,0.000097,0.000155,0.000102,0.000103,0.000087,0.00014,0.000092
15,0.000169,0.000136,0.000228,0.000144,0.000158,0.000127,0.000214,0.000134,0.000142,0.000114,0.000192,0.00012
16,0.000243,0.000164,0.000328,0.000173,0.000227,0.000152,0.000307,0.000161,0.000205,0.000137,0.000276,0.000144
17,0.00032,0.000188,0.000432,0.000199,0.0003,0.000175,0.000405,0.000185,0.00027,0.000157,0.000364,0.000166
18,0.000523,0.000267,0.000707,0.000282,0.000491,0.000248,0.000663,0.000262,0.000442,0.000223,0.000596,0.000235
19,0.000553,0.000269,0.000747,0.000285,0.000518,0.00025,0.0007,0.000264,0.000467,0.000225,0.00063,0.000238
20,0.00055,0.00026,0.000743,0.000275,0.000516,0.000242,0.000697,0.000255,0.000464,0.000218,0.000627,0.00023
21,0.000558,0.000239,0.000754,0.000252,0.000523,0.000222,0.000707,0.000234,0.000471,0.000199,0.000636,0.000211
22,0.000548,0.000243,0.000741,0.000257,0.000514,0.000226,0.000694,0.000238,0.000463,0.000203,0.000625,0.000215
23,0.000563,0.000227,0.000761,0.00024,0.000528,0.000211,0.000713,0.000223,0.000475,0.00019,0.000642,0.000201
24,0.000546,0.000251,0.000737,0.000266,0.000512,0.000233,0.000691,0.000246,0.00046,0.00021,0.000622,0.000222
25,0.000541,0.000255,0.000731,0.00027,0.000508,0.000237,0.000686,0.00025,0.000457,0.000213,0.000617,0.000225
26,0.00054,0.000255,0.00073,0.00027,0.000506,0.000237,0.000684,0.00025,0.000456,0.000213,0.000616,0.000225
27,0.000558,0.000266,0.000743,0.000281,0.000523,0.000247,0.000697,0.000261,0.000471,0.000222,0.000627,0.000235
28,0.000574,0.000293,0.000726,0.000309,0.000538,0.000272,0.000681,0.000287,0.000485,0.000244,0.000613,0.000258
29,0.000595,0.000317,0.000715,0.000335,0.000557,0.000294,0.00067,0.000311,0.000502,0.000265,0.000603,0.00028
30,0.00061,0.000329,0.000709,0.000348,0.000572,0.000306,0.000665,0.000323,0.000515,0.000275,0.000598,0.000291
31,0.000647,0.00035,0.000717,0.000361,0.000606,0.000325,0.000672,0.000335,0.000546,0.000292,0.000605,0.000302
32,0.000674,0.000394,0.000742,0.000381,0.000632,0.000365,0.000695,0.000353,0.000568,0.000329,0.000626,0.000318
33,0.000712,0.000427,0.000786,0.000413,0.000668,0.000396,0.000736,0.000383,0.000601,0.000357,0.000663,0.000344
34,0.000774,0.00048,0.000845,0.000461,0.000726,0.000445,0.000792,0.000427,0.000653,0.000401,0.000713,0.000385
35,0.000826,0.000533,0.000918,0.000519,0.000774,0.000494,0.000861,0.000482,0.000697,0.000445,0.000775,0.000434
36,0.00089,0.000596,0.001008,0.000585,0.000834,0.000553,0.000945,0.000543,0.000751,0.000498,0.00085,0.000488
37,0.000973,0.000671,0.001119,0.000656,0.000912,0.000623,0.001049,0.000608,0.000821,0.000561,0.000944,0.000547
38,0.001041,0.000725,0.001242,0.000725,0.000976,0.000673,0.001164,0.000672,0.000878,0.000606,0.001047,0.000605
39,0.001148,0.000785,0.001367,0.000798,0.001076,0.000729,0.001281,0.00074,0.000968,0.000656,0.001153,0.000666
