Rententafel AVÖ 2005R,,,,,,,"Rententafel AVÖ 2005R, 2. Ordnung",,,,,,,Rententafel AVÖ 2005R Unisex,,,
,,,,,,,,,,,,,,,,,
age,qx2001,qx2001G,trendM,qy2001,qy2001G,trendF,,qx2001.2Ord,qx2001G.2Ord,trendM.2Ord,qy2001.2Ord,qy2001G.2Ord,trendF.2Ord,,qu2001,qu2001G,trendU
0,0.0042744,0.0042744,0.05,0.00300856,0.00300856,0.05,0,0.0042744,0.0042744,0.058061531466665,0.003196595,0.00300856,0.0551941064856084,0,0.003388312,0.003388312,0.05
1,0.00027616,0.00027616,0.05,0.00026128,0.00026128,0.05,1,0.00027616,0.00027616,0.0543394056969959,0.00027761,0.00026128,0.054231119735258,1,0.000265744,0.000265744,0.05
2,0.00021112,0.00021112,0.05,0.00016864,0.00016864,0.05,2,0.00021112,0.00021112,0.0514362765666983,0.00017918,0.00016864,0.0540704457871836,2,0.000181384,0.000181384,0.05
3,0.00015872,0.00015872,0.05,0.00010544,0.00010544,0.05,3,0.00015872,0.00015872,0.0498313916542513,0.00011203,0.00010544,0.0539429431597211,3,0.000121424,0.000121424,0.05
4,0.00012096,0.00012096,0.05,0.00007976,0.00007976,0.05,4,0.00012096,0.00012096,0.0499021714103831,0.000084745,0.00007976,0.0537162559658205,4,0.00009212,0.00009212,0.05
5,0.0001036,0.0001036,0.05,0.00006864,0.00006864,0.05,5,0.0001036,0.0001036,0.0513354987949862,0.00007293,0.00006864,0.0528361056032539,5,0.000079128,0.000079128,0.05
6,0.00009808,0.00009808,0.05,0.00006808,0.00006808,0.05,6,0.00009808,0.00009808,0.0529722921385592,0.000072335,0.00006808,0.0500243875786214,6,0.00007708,0.00007708,0.05
7,0.0000936,0.0000936,0.05,0.000072,0.000072,0.0488816408359534,7,0.0000936,0.0000936,0.0535725855350999,0.0000765,0.000072,0.0458816408359534,7,0.0000784739942467295,0.0000784739942467295,0.0492885669188458
8,0.00008848,0.00008848,0.05,0.00007408,0.00007408,0.044497293704924,8,0.00008848,0.00008848,0.052521785752795,0.00007871,0.00007408,0.041497293704924,8,0.0000782676027061438,0.0000782676027061438,0.0465162575956133
9,0.00008912,0.00008912,0.05,0.00007472,0.00007472,0.0412883559119129,9,0.00008912,0.00008912,0.0503544002353672,0.00007939,0.00007472,0.0382883559119129,9,0.000078731370668686,0.000078731370668686,0.0446126877520273
10,0.00009104,0.00009104,0.05,0.00007696,0.00007696,0.0392864509723522,10,0.00009104,0.00009104,0.0485671342813596,0.00008177,0.00007696,0.0362864509723522,10,0.0000807471101064143,0.0000807471101064143,0.0434376823794315
11,0.0000904,0.0000904,0.05,0.0000812,0.0000812,0.0373612908074432,11,0.0000904,0.0000904,0.0471674577930159,0.000086275,0.0000812,0.0343612908074432,11,0.0000833985720085164,0.0000833985720085164,0.042159912026332
12,0.000092,0.000092,0.0485448463510291,0.00008776,0.00008776,0.0356133788921363,12,0.000092,0.000092,0.0455448463510291,0.000093245,0.00008776,0.0326133788921363,12,0.0000884825262875602,0.0000884825262875602,0.0403214468336618
13,0.00011424,0.00011424,0.0471081810575084,0.00010344,0.00010344,0.0344611144124694,13,0.00011424,0.00011424,0.0441081810575084,0.000109905,0.00010344,0.0314611144124694,13,0.000106111140763526,0.000106111140763526,0.0391673610851127
14,0.00017736,0.00017736,0.0454721006206707,0.00013352,0.00013352,0.0337711569484547,14,0.00017736,0.00017736,0.0424721006206707,0.000141865,0.00013352,0.0307711569484547,14,0.00014605389474101,0.00014605389474101,0.0385607876869148
15,0.00029432,0.00029432,0.0432823840729827,0.00016656,0.00016656,0.0331606078259385,15,0.00029432,0.00029432,0.0402823840729827,0.00017697,0.00016656,0.0301606078259385,15,0.000204298414971022,0.000204298414971022,0.0379238579187071
16,0.00045048,0.00045048,0.0406339168458941,0.00019864,0.00019864,0.0324368873331601,16,0.00045048,0.00045048,0.0376339168458941,0.000211055,0.00019864,0.0294368873331601,16,0.000273739732082167,0.000273739732082167,0.0367263803531131
17,0.00061952,0.00061952,0.037322800889047,0.00023904,0.00023904,0.0312415686869022,17,0.00061952,0.00061952,0.034322800889047,0.00025398,0.00023904,0.0282415686869022,17,0.000352910769544999,0.000352910769544999,0.0345692515318594
18,0.00075808,0.00075808,0.0341904276276448,0.0002676,0.0002676,0.0311782868686286,18,0.00075808,0.00075808,0.0311904276276448,0.000284325,0.0002676,0.0268665124135983,18,0.000414677935699556,0.000414677935699556,0.0328589049766882
19,0.00081656,0.00081656,0.0318145669624632,0.0002704,0.0002704,0.031115005050355,19,0.00081656,0.00081656,0.0288145669624632,0.0002873,0.0002704,0.0258111400534971,19,0.000434244927509251,0.000434244927509251,0.0315110747706305
20,0.00082144,0.00082144,0.0302065804901763,0.00025872,0.00025872,0.0310517232320813,20,0.00082144,0.00082144,0.0272065804901763,0.00027489,0.00025872,0.024869421060333,20,0.000427532452111041,0.000427532452111041,0.0305664899020742
21,0.00081912,0.00081912,0.0301569403600779,0.00024656,0.00024656,0.0309884414138077,21,0.00081912,0.00081912,0.0259433319505929,0.00026197,0.00024656,0.0245597931670693,21,0.000418325390512078,0.000418325390512078,0.03050166483976
22,0.00081328,0.00081328,0.0301073002299795,0.00023784,0.00023784,0.0309251595955341,22,0.00081328,0.00081328,0.0248849707167126,0.000252705,0.00023784,0.0246499557293957,22,0.000410470157840376,0.000410470157840376,0.0304404700952955
23,0.00080488,0.00080488,0.0300576600998812,0.00022648,0.00022648,0.0308618777772604,23,0.00080488,0.00080488,0.0238335623184755,0.000240635,0.00022648,0.0255590410043908,23,0.000399998799051157,0.000399998799051157,0.0303776369081774
24,0.00079976,0.00079976,0.0300080199697828,0.00021584,0.00021584,0.0307985959589868,24,0.00079976,0.00079976,0.0229739499497548,0.00022933,0.00021584,0.0266511644655463,24,0.000391015307506615,0.000391015307506615,0.0303145311631286
25,0.00079784,0.00079784,0.0299583798396844,0.0002156,0.0002156,0.0307353141407132,25,0.00079784,0.00079784,0.0227868094155549,0.000229075,0.0002156,0.0272857070724851,25,0.000390271693737423,0.000390271693737423,0.0302596803012472
