Periodensterbetafeln für Deutschland (BRD)
Quelle: Statistisches Bundesamt, Wiesbaden 2012

Alter,ADSt 1949/51 M,ADSt 1949/51 F,ADSt 1960/62 M,ADSt 1960/62 F,ADSt 1970/72 M,ADSt 1970/72 F,ADSt 1986/88 M,ADSt 1986/88 F
0,0.061770,0.049090,0.035330,0.027780,0.026000,0.019840,0.009253,0.007016
1,0.004160,0.003600,0.002310,0.002010,0.001550,0.001310,0.000705,0.000582
2,0.002460,0.002150,0.001400,0.001080,0.001000,0.000800,0.000493,0.000402
3,0.001940,0.001640,0.001000,0.000790,0.000880,0.000660,0.000355,0.000273
4,0.001530,0.001270,0.000870,0.000650,0.000800,0.000560,0.000306,0.000204
5,0.001210,0.000990,0.000800,0.000560,0.000730,0.000500,0.000291,0.000179
6,0.001020,0.000820,0.000730,0.000480,0.000660,0.000450,0.000276,0.000169
7,0.000940,0.000630,0.000640,0.000400,0.000610,0.000400,0.000258,0.000161
8,0.000790,0.000580,0.000560,0.000350,0.000560,0.000360,0.000236,0.000155
9,0.000750,0.000520,0.000490,0.000310,0.000510,0.000320,0.000217,0.000150
10,0.000700,0.000470,0.000450,0.000280,0.000470,0.000280,0.000205,0.000146
11,0.000690,0.000460,0.000430,0.000280,0.000440,0.000270,0.000202,0.000145
12,0.000700,0.000480,0.000450,0.000280,0.000440,0.000270,0.000209,0.000151
13,0.000780,0.000520,0.000500,0.000310,0.000480,0.000300,0.000233,0.000161
14,0.000880,0.000590,0.000600,0.000350,0.000580,0.000360,0.000293,0.000181
15,0.001040,0.000680,0.000750,0.000400,0.000790,0.000450,0.000402,0.000216
16,0.001180,0.000780,0.000950,0.000460,0.001140,0.000560,0.000556,0.000265
17,0.001360,0.000860,0.001190,0.000520,0.001610,0.000640,0.000751,0.000314
18,0.001550,0.000960,0.001460,0.000570,0.001990,0.000670,0.000956,0.000360
19,0.001730,0.001060,0.001690,0.000600,0.002030,0.000670,0.001069,0.000379
20,0.001880,0.001150,0.001850,0.000620,0.002000,0.000650,0.001102,0.000380
21,0.001980,0.001230,0.001900,0.000620,0.001930,0.000640,0.001091,0.000376
22,0.002070,0.001270,0.001870,0.000620,0.001840,0.000620,0.001065,0.000374
23,0.002130,0.001300,0.001800,0.000630,0.001740,0.000610,0.001038,0.000375
24,0.002190,0.001320,0.001720,0.000670,0.001660,0.000620,0.001016,0.000380
25,0.002230,0.001350,0.001690,0.000730,0.001610,0.000630,0.001003,0.000388
26,0.002260,0.001390,0.001660,0.000780,0.001580,0.000640,0.001001,0.000401
27,0.002250,0.001440,0.001660,0.000830,0.001590,0.000670,0.001013,0.000421
28,0.002250,0.001510,0.001660,0.000890,0.001610,0.000700,0.001038,0.000447
29,0.002250,0.001580,0.001680,0.000940,0.001650,0.000730,0.001076,0.000479
30,0.002280,0.001650,0.001700,0.000990,0.001700,0.000770,0.001122,0.000518
31,0.002350,0.001720,0.001740,0.001050,0.001750,0.000820,0.001172,0.000561
32,0.002430,0.001790,0.001800,0.001110,0.001800,0.000890,0.001230,0.000606
33,0.002530,0.001850,0.001880,0.001190,0.001870,0.000960,0.001295,0.000654
34,0.002640,0.001920,0.001980,0.001280,0.001970,0.001050,0.001373,0.000709
35,0.002760,0.001990,0.002090,0.001380,0.002100,0.001160,0.001467,0.000773
36,0.002880,0.002080,0.002220,0.001500,0.002270,0.001270,0.001576,0.000847
37,0.003000,0.002190,0.002380,0.001610,0.002460,0.001380,0.001700,0.000932
38,0.003140,0.002290,0.002560,0.001740,0.002690,0.001510,0.001841,0.001027
39,0.003310,0.002410,0.002750,0.001870,0.002940,0.001640,0.002003,0.001130
