"Jahr","Alter","Geschlecht","qx"
"2020-2022",0,"M",0.00278253094698546
"2020-2022",0,"F",0.00275760789752794
"2020-2022",0,"U",0.00277042345070311
"2020-2022",1,"M",0.000221309910424717
"2020-2022",1,"F",0.000173818982979879
"2020-2022",1,"U",0.000198142562963314
"2020-2022",2,"M",0.000169867168785589
"2020-2022",2,"F",0.000113591205762109
"2020-2022",2,"U",0.00014247061354492
"2020-2022",3,"M",0.000132301788715943
"2020-2022",3,"F",8.54032978299536e-05
"2020-2022",3,"U",0.000109473343284479
"2020-2022",4,"M",0.000105696806385667
"2020-2022",4,"F",7.8229219399297e-05
"2020-2022",4,"U",9.23073950013176e-05
"2020-2022",5,"M",8.71352579648467e-05
"2020-2022",5,"F",8.10429306852882e-05
"2020-2022",5,"U",8.41294115143883e-05
"2020-2022",6,"M",7.37002793204118e-05
"2020-2022",6,"F",7.37002793204118e-05
"2020-2022",6,"U",7.80962541984004e-05
"2020-2022",7,"M",6.33977774118485e-05
"2020-2022",7,"F",6.33977774118485e-05
"2020-2022",7,"U",6.9387838490248e-05
"2020-2022",8,"M",5.741187146357e-05
"2020-2022",8,"F",5.741187146357e-05
"2020-2022",8,"U",6.01518915173955e-05
"2020-2022",9,"M",5.76104105283527e-05
"2020-2022",9,"F",5.01033737650335e-05
"2020-2022",9,"U",5.40351279744517e-05
"2020-2022",10,"M",6.58612436623568e-05
"2020-2022",10,"F",4.26919941868709e-05
"2020-2022",10,"U",5.46842625585828e-05
"2020-2022",11,"M",8.40316616893976e-05
"2020-2022",11,"F",4.62982731287259e-05
"2020-2022",11,"U",6.57448377426488e-05
"2020-2022",12,"M",0.000113248192186473
"2020-2022",12,"F",6.40412462335456e-05
"2020-2022",12,"U",8.93068643490436e-05
"2020-2022",13,"M",0.000152436285424073
"2020-2022",13,"F",9.17817963365813e-05
"2020-2022",13,"U",0.000122838302415217
"2020-2022",14,"M",0.000200114446387976
"2020-2022",14,"F",0.000124038885576516
"2020-2022",14,"U",0.000162952565964918
"2020-2022",15,"M",0.000254801180054207
"2020-2022",15,"F",0.000155331476082395
"2020-2022",15,"U",0.000206263069012604
"2020-2022",16,"M",0.000315012599350857
"2020-2022",16,"F",0.000180182959579788
"2020-2022",16,"U",0.00024938408897171
"2020-2022",17,"M",0.000378196456837694
"2020-2022",17,"F",0.000195095115635104
"2020-2022",17,"U",0.000289315521725032
"2020-2022",18,"M",0.000439053988785843
"2020-2022",18,"F",0.000201655717789562
"2020-2022",18,"U",0.000324048602242213
"2020-2022",19,"M",0.000491851166979565
"2020-2022",19,"F",0.000202258561602552
"2020-2022",19,"U",0.000351731671687048
"2020-2022",20,"M",0.000530853963201142
"2020-2022",20,"F",0.000199297442630103
"2020-2022",20,"U",0.000370513071220075
"2020-2022",21,"M",0.000550347763588801
"2020-2022",21,"F",0.000195163982734008
"2020-2022",21,"U",0.000378550257541298
"2020-2022",22,"M",0.00054873379821431
"2020-2022",22,"F",0.000191788980758652
"2020-2022",22,"U",0.000375933181921031
"2020-2022",23,"M",0.000533596288557285
"2020-2022",23,"F",0.000190075078525532
"2020-2022",23,"U",0.000367063446243159
"2020-2022",24,"M",0.000513761975019867
"2020-2022",24,"F",0.000190785801472963
"2020-2022",24,"U",0.000356926046978228
"2020-2022",25,"M",0.0004980575980045
"2020-2022",25,"F",0.000194684675039576
"2020-2022",25,"U",0.000350505980597076
"2020-2022",26,"M",0.000495274594417591
"2020-2022",26,"F",0.000202532105379172
"2020-2022",26,"U",0.000352768122588819
"2020-2022",27,"M",0.000509932678188506
"2020-2022",27,"F",0.00021471106522645
"2020-2022",27,"U",0.000366242709699051
"2020-2022",28,"M",0.00053825524176188
"2020-2022",28,"F",0.000230871495468589
"2020-2022",28,"U",0.000388731548055195
"2020-2022",29,"M",0.000575512483199146
"2020-2022",29,"F",0.000250579116312599
"2020-2022",29,"U",0.000417493177288309
"2020-2022",30,"M",0.000616974600561528
"2020-2022",30,"F",0.000273399647965289
"2020-2022",30,"U",0.000449786137029259
"2020-2022",31,"M",0.000657945999763365
"2020-2022",31,"F",0.00029889698342756
"2020-2022",31,"U",0.000482886634892742
"2020-2022",32,"M",0.000696377760986881
"2020-2022",32,"F",0.000326493644106275
"2020-2022",32,"U",0.000515437856949014
"2020-2022",33,"M",0.000734707261006527
"2020-2022",33,"F",0.000355372516742961
"2020-2022",33,"U",0.000548400112633578
"2020-2022",34,"M",0.000775806443027713
"2020-2022",34,"F",0.000384693275797526
"2020-2022",34,"U",0.00058295816021418
"2020-2022",35,"M",0.000822547250255816
"2020-2022",35,"F",0.000413615595729788
"2020-2022",35,"U",0.000620296757958584
"2020-2022",36,"M",0.000877773481050526
"2020-2022",36,"F",0.00044132725124311
"2020-2022",36,"U",0.000661597978854065
"2020-2022",37,"M",0.000942826425713166
"2020-2022",37,"F",0.000468516144047996
"2020-2022",37,"U",0.000707900542637704
"2020-2022",38,"M",0.00101681966490106
"2020-2022",38,"F",0.000498094355206469
"2020-2022",38,"U",0.000760030624815977
"2020-2022",39,"M",0.00109868650456192
"2020-2022",39,"F",0.000533153954805256
"2020-2022",39,"U",0.000818797201010459
"2020-2022",40,"M",0.00118736025064364
"2020-2022",40,"F",0.000576787012931267
"2020-2022",40,"U",0.000885009246842793
"2020-2022",41,"M",0.00128181764065685
"2020-2022",41,"F",0.000632035541824943
"2020-2022",41,"U",0.000959476419688908
"2020-2022",42,"M",0.00138272381411315
"2020-2022",42,"F",0.000699995554945584
"2020-2022",42,"U",0.00104303488011783
"2020-2022",43,"M",0.00149293720444077
"2020-2022",43,"F",0.000779235144505474
"2020-2022",43,"U",0.0011365552172832
"2020-2022",44,"M",0.00161546282659291
"2020-2022",44,"F",0.000868153457485661
"2020-2022",44,"U",0.00124091032125955
"2020-2022",45,"M",0.00175330569552253
"2020-2022",45,"F",0.000965149640867112
"2020-2022",45,"U",0.00135697308212129
"2020-2022",46,"M",0.00190951618158414
"2020-2022",46,"F",0.00106866648983477
"2020-2022",46,"U",0.00148565953602828
"2020-2022",47,"M",0.00208848061747348
"2020-2022",47,"F",0.00117843247569814
"2020-2022",47,"U",0.00162915660515194
"2020-2022",48,"M",0.00229610757267523
"2020-2022",48,"F",0.00129564100888597
"2020-2022",48,"U",0.00179109929847095
"2020-2022",49,"M",0.00253838842605736
"2020-2022",49,"F",0.00142156519222829
"2020-2022",49,"U",0.00197520140060286
"2020-2022",50,"M",0.0028213145564872
"2020-2022",50,"F",0.00155747812855449
"2020-2022",50,"U",0.00218517669616457
"2020-2022",51,"M",0.0031507085123552
"2020-2022",51,"F",0.00170472365392057
"2020-2022",51,"U",0.00242468061260009
"2020-2022",52,"M",0.00352850974106049
"2020-2022",52,"F",0.00186627246857357
"2020-2022",52,"U",0.00269602636235533
"2020-2022",53,"M",0.00395277458901309
"2020-2022",53,"F",0.00204672213695345
"2020-2022",53,"U",0.00300018494288005
"2020-2022",54,"M",0.0044213905721444
"2020-2022",54,"F",0.00225074095672521
"2020-2022",54,"U",0.00333806899444962
"2020-2022",55,"M",0.00493224520638632
"2020-2022",55,"F",0.00248299722555434
"2020-2022",55,"U",0.0037105911573398
"2020-2022",56,"M",0.00548383317458657
"2020-2022",56,"F",0.00274822667025248
"2020-2022",56,"U",0.00411899609247267
"2020-2022",57,"M",0.0060858103563914
"2020-2022",57,"F",0.00305240452847172
"2020-2022",57,"U",0.0045706318034924
"2020-2022",58,"M",0.0067576280448144
"2020-2022",58,"F",0.00340259387112044
"2020-2022",58,"U",0.00507820277739925
"2020-2022",59,"M",0.00751907008334331
"2020-2022",59,"F",0.00380589470062236
"2020-2022",59,"U",0.00565459535171989
"2020-2022",60,"M",0.00838992031546653
"2020-2022",60,"F",0.00426940701940197
